entrez_id	symbol	chromosome	cytoband	type	synonyms	hgnc_id	ensembl_id	
107126285	SEPTIN14P20	20	20q13.33	pseudogene	SEPT14P20|LINC00266-1|C20orf69|NCRNA00266|NCRNA00266-1|bA476I15.3|RBRP	HGNC:51706		
107126282	SEPTIN14P15	1	1q42.11	pseudogene	SEPT14P15	HGNC:51702		
107126283	SEPTIN14P16	16	16q24.3	pseudogene	SEPT14P16	HGNC:51704		
107126289	SLC25A39P2	12	12p13.2	pseudogene		HGNC:48936	ENSG00000257016	
285154	CYP1B1-AS1	2	2p22.2	ncRNA	C2orf58|MGC34824	HGNC:28543	ENSG00000232973	
256126	SYCE2	19	19p13.13	protein-coding	CESC1	HGNC:27411	ENSG00000161860	
29769	SDHDP5	2	2q31.2	pseudogene		HGNC:10688	ENSG00000229744	
29768	SDHDP6	1	1p36.11	pseudogene		HGNC:10689	ENSG00000224183	
29765	TMOD4	1	1q21.3	protein-coding	Sk-Tmod	HGNC:11874	ENSG00000163157	
29767	TMOD2	15	15q21.2	protein-coding	NTMOD	HGNC:11872	ENSG00000128872	
29766	TMOD3	15	15q21.2	protein-coding	UTMOD	HGNC:11873	ENSG00000138594	
29761	USP25	21	21q21.1	protein-coding		HGNC:12624	ENSG00000155313	
29760	BLNK	10	10q24.1	protein-coding	SLP65|Ly57|SLP-65|BLNK-s|BASH|bca	HGNC:14211	ENSG00000095585	
29763	PACSIN3	11	11p11.2	protein-coding	SDPIII	HGNC:8572	ENSG00000165912	
1176	AP3S1	5	5q22.3-q23.1	protein-coding	CLAPS3	HGNC:2013	ENSG00000177879	
1175	AP2S1	19	19q13.32	protein-coding	CLAPS2|HHC3|FBHOk|FBH3	HGNC:565	ENSG00000042753	
1174	AP1S1	7	7q22.1	protein-coding	CLAPS1|EKV3|AP19|SIGMA1A|WUGSC:H_DJ0747G18.2	HGNC:559	ENSG00000106367	
1173	AP2M1	3	3q27.1	protein-coding	CLAPM1|AP50|mu2	HGNC:564	ENSG00000161203	
23509	POFUT1	20	20q11.21	protein-coding	O-FUT|O-Fuc-T|KIAA0180|FUT12	HGNC:14988	ENSG00000101346	
23508	TTC9	14	14q24.2	protein-coding	KIAA0227|TTC9A	HGNC:20267	ENSG00000133985	
23507	LRRC8B	1	1p22.2	protein-coding	TA-LRRP|KIAA0231	HGNC:30692	ENSG00000197147	
23506	BICRAL	6	6p21.1	protein-coding	KIAA0240|GLTSCR1L|SMARCK2	HGNC:21111	ENSG00000112624	
100131913	RPL5P20	6	6p22.3	pseudogene		HGNC:36660	ENSG00000218643	
23504	RIMBP2	12	12q24.33	protein-coding	KIAA0318|MGC15831|RIM-BP2|PPP1R133	HGNC:30339	ENSG00000060709	
23503	ZFYVE26	14	14q24.1	protein-coding	SPG15|KIAA0321	HGNC:20761	ENSG00000072121	
1179	CLCA1	1	1p22.3	protein-coding	CaCC|CLCRG1	HGNC:2015	ENSG00000016490	
1178	CLC	19	19q13.2	protein-coding	LGALS10|MGC149659|Gal-10	HGNC:2014	ENSG00000105205	
120126	UBTFL2	11	11q14.3	pseudogene		HGNC:35169	ENSG00000234376	
169026	SLC30A8	8	8q24.11	protein-coding	ZnT-8|ZNT8	HGNC:20303	ENSG00000164756	
105376310	LINC02247	9	9q34.2	ncRNA	ENST00000417135	HGNC:53140	ENSG00000223729	
103344930	LINC01391	3	3q22.3	ncRNA		HGNC:50666	ENSG00000244578	
388677	NOTCH2NLA	1	1q21.1	protein-coding	NOTCH2NL|N2N	HGNC:31862	ENSG00000264343	
111082989	CXXC5-AS1	5	5q31.2	ncRNA		HGNC:53009	ENSG00000250635	
111082988	LINC02155	8	8q12.3	ncRNA	RP11-705O24.1	HGNC:53016	ENSG00000254120	
100287369	HSPE1P4	12	12q23.2	pseudogene		HGNC:49323	ENSG00000258153	
100287366	OSTM1-AS1	6	6q21	ncRNA		HGNC:43666	ENSG00000225174	
111082984	PPIAP84	8	8p12	pseudogene		HGNC:53708	ENSG00000254152	
111082987	CFTR-AS1	7	7q31.2	ncRNA	BGas	HGNC:40144	ENSG00000232661	
111082981	PPIAP67	2	2q31.1	pseudogene		HGNC:53691	ENSG00000237260	
111082980	PPIAP65	2	2q21.1	pseudogene		HGNC:53689	ENSG00000233428	
111082983	PPIAP76	4	4q28.1	pseudogene		HGNC:53700	ENSG00000250484	
100287361	PPIAP64	2	2p14	pseudogene		HGNC:53688	ENSG00000236259	
283651	HMGN2P46	15	15q21.1	pseudogene	C15orf21|FLJ39426|D-PCa-2	HGNC:26817	ENSG00000179362	
283652	SLC24A5	15	15q21.1	protein-coding	JSX|OCA6|NCKX5	HGNC:20611	ENSG00000188467	
620	BCYRN1P2	1	1q41	pseudogene	BC200g	HGNC:1024		
8549	LGR5	12	12q21.1	protein-coding	GPR67|GPR49|HG38|FEX	HGNC:4504	ENSG00000139292	
8548	BLZF1	1	1q24.2	protein-coding	JEM-1	HGNC:1065	ENSG00000117475	
8545	CGGBP1	3	3p11.1	protein-coding	p20-CGGBP|CGGBP	HGNC:1888	ENSG00000163320	
8544	PIR	X	Xp22.2	protein-coding		HGNC:30048	ENSG00000087842	
8547	FCN3	1	1p36.11	protein-coding	FCNH|HAKA1	HGNC:3625	ENSG00000142748	
8546	AP3B1	5	5q14.1	protein-coding	ADTB3A|HPS2	HGNC:566	ENSG00000132842	
8541	PPFIA3	19	19q13.33	protein-coding	KIAA0654|LPNA3|MGC126567|MGC126569	HGNC:9247	ENSG00000177380	
8540	AGPS	2	2q31.2	protein-coding	ADHAPS|ADAS|ALDHPSY|ADPS|ADAP-S	HGNC:327	ENSG00000018510	
8543	LMO4	1	1p22.3	protein-coding		HGNC:6644	ENSG00000143013	
8542	APOL1	22	22q12.3	protein-coding	APOL	HGNC:618	ENSG00000100342	
727914	BMS1P16	15	15q11.2	pseudogene		HGNC:49161	ENSG00000258684	
727915	AGBL1-AS1	15	15q25.3	ncRNA		HGNC:48617	ENSG00000260125	
145438	FRMD6-AS1	14	14q22.1	ncRNA	C14orf82	HGNC:20129	ENSG00000273888	
629	CFB	6	6p21.33	protein-coding	BFD|BF|H2-Bf	HGNC:1037	ENSG00000243649	
55629	PNRC2	1	1p36.11	protein-coding		HGNC:23158	ENSG00000189266	
23126	POGZ	1	1q21.3	protein-coding	KIAA0461|ZNF635|ZNF280E	HGNC:18801	ENSG00000143442	
374920	ZSWIM9	19	19q13.33	protein-coding	C19orf68|LOC374920	HGNC:34495	ENSG00000185453	
100337616	CSN1S2BP	4	4q13.3	pseudogene	CSN1S2B	HGNC:20227		
55622	TTC27	2	2p22.3	protein-coding	FLJ20272	HGNC:25986	ENSG00000018699	
107985210	ARHGEF2-AS1	1	1q22	ncRNA		HGNC:40082	ENSG00000224276	
55620	STAP2	19	19p13.3	protein-coding	STAP-2|BKS	HGNC:30430	ENSG00000178078	
55627	SMPD4	2	2q21.1	protein-coding	FLJ20297|FLJ20756|nSMase-3|KIAA1418|NSMASE3|NET13	HGNC:32949	ENSG00000136699	
55626	AMBRA1	11	11p11.2	protein-coding	FLJ20294|KIAA1736|WDR94|DCAF3	HGNC:25990	ENSG00000110497	
55625	ZDHHC7	16	16q24.1	protein-coding	FLJ10792|ZNF370|FLJ20279|SERZ-B|SERZ1|DHHC7	HGNC:18459	ENSG00000153786	
55624	POMGNT1	1	1p34.1	protein-coding	MEB|FLJ20277|MGAT1.2|LGMD2O	HGNC:19139	ENSG00000085998	
389073	C2orf80	2	2q33.3	protein-coding	LOC389073|GONDA1	HGNC:34352	ENSG00000188674	
389072	PLEKHM3	2	2q33.3	protein-coding	PLEKHM1L|DAPR	HGNC:34006	ENSG00000178385	
389075	RESP18	2	2q35	protein-coding		HGNC:33762	ENSG00000182698	
105372566	LINC01747	20	20p11.21	ncRNA		HGNC:52536	ENSG00000230400	
124901041	MAN2A1-DT	5	5q21.3	ncRNA		HGNC:54821	ENSG00000271849	
106481959	RNU2-19P	1	1q32.1	pseudogene		HGNC:48512	ENSG00000253097	
728716	LINC01346	1	1p36.32	ncRNA		HGNC:50563	ENSG00000233304	
728710	FAM177A1P1	4	4q23	pseudogene	FAM177A2	HGNC:34441	ENSG00000214886	
728712	SPANXA2	X	Xq27.2	protein-coding	SPANX	HGNC:14328	ENSG00000203926	
106481953	RNU1-39P	5	5q35.3	pseudogene		HGNC:48381	ENSG00000206624	
106481952	RNU1-7P	1	1p36.23	pseudogene	RNU1-7	HGNC:48306	ENSG00000200975	
106481951	RNU6-1326P	21	21q21.1	pseudogene		HGNC:48289	ENSG00000212564	
106481950	RNU6-1315P	12	12p13.33	pseudogene		HGNC:48278	ENSG00000252996	
106481957	RNU1-108P	17	17q22	pseudogene		HGNC:48450	ENSG00000199426	
106481956	RNU1-94P	20	20q11.21	pseudogene		HGNC:48436	ENSG00000199497	
106481955	RNU1-72P	7	7q32.1	pseudogene		HGNC:48414	ENSG00000199846	
106481954	RNU1-55P	20	20p12.3	pseudogene		HGNC:48397	ENSG00000202380	
127731	VWA5B1	1	1p36.12	protein-coding	FLJ32784	HGNC:26538	ENSG00000158816	
127733	UBXN10	1	1p36.12	protein-coding	UBXD3|FLJ25429	HGNC:26354	ENSG00000162543	
65268	WNK2	9	9q22.31	protein-coding	SDCCAG43|PRKWNK2|NY-CO-43|KIAA1760	HGNC:14542	ENSG00000165238	
65264	UBE2Z	17	17q21.32	protein-coding	FLJ13855|USE1	HGNC:25847	ENSG00000159202	
65265	C8orf33	8	8q24.3	protein-coding	FLJ20989	HGNC:26104	ENSG00000182307	
65266	WNK4	17	17q21.2	protein-coding	PRKWNK4	HGNC:14544	ENSG00000126562	
65267	WNK3	X	Xp11.22	protein-coding	PRKWNK3	HGNC:14543	ENSG00000196632	
65260	COA7	1	1p32.3	protein-coding	C1orf163|SELRC1|FLJ12439|RESA1	HGNC:25716	ENSG00000162377	
150160	CCT8L2	22	22q11.1	protein-coding	CESK1	HGNC:15553	ENSG00000198445	
393	ARHGAP4	X	Xq28	protein-coding	KIAA0131|C1|p115|RhoGAP4|SrGAP4	HGNC:674	ENSG00000089820	
392	ARHGAP1	11	11p11.2	protein-coding	RhoGAP|p50rhoGAP|CDC42GAP|Cdc42GAP	HGNC:673	ENSG00000175220	
391	RHOG	11	11p15.4	protein-coding	ARHG|MGC125835|MGC125836	HGNC:672	ENSG00000177105	
390	RND3	2	2q23.3	protein-coding	ARHE|RhoE|Rho8	HGNC:671	ENSG00000115963	
397	ARHGDIB	12	12p12.3	protein-coding	RAP1GN1|GDIA2|GDID4|Ly-GDI|RhoGDI2	HGNC:679	ENSG00000111348	
396	ARHGDIA	17	17q25.3	protein-coding	GDIA1|RHOGDI	HGNC:678	ENSG00000141522	
395	ARHGAP6	X	Xp22.2	protein-coding	rhoGAPX-1	HGNC:676	ENSG00000047648	
394	ARHGAP5	14	14q12	protein-coding	GFI2|RhoGAP5|p190-B|p190BRhoGAP	HGNC:675	ENSG00000100852	
399	RHOH	4	4p14	protein-coding	ARHH|TTF	HGNC:686	ENSG00000168421	
398	ARHGDIG	16	16p13.3	protein-coding	RHOGDI-3	HGNC:680	ENSG00000242173	
100033603	SNORD115-21	15	15q11.2	snoRNA	HBII-52-21	HGNC:33040	ENSG00000199833	
93134	ZNF561	19	19p13.2	protein-coding	MGC45408	HGNC:28684	ENSG00000171469	
730668	LOC730668	22	22q13.31	pseudogene				
389690	MROH5	8	8q24.3	protein-coding	FLJ43860	HGNC:42976	ENSG00000226807	
3748	KCNC3	19	19q13.33	protein-coding	SCA13|Kv3.3	HGNC:6235	ENSG00000131398	
3749	KCNC4	1	1p13.3	protein-coding	C1orf30|Kv3.4|HKSHIIIC	HGNC:6236	ENSG00000116396	
3746	KCNC1	11	11p15.1	protein-coding	Kv3.1	HGNC:6233	ENSG00000129159	
3747	KCNC2	12	12q21.1	protein-coding	Kv3.2	HGNC:6234	ENSG00000166006	
3744	KCNA10	1	1p13.3	protein-coding	Kv1.8	HGNC:6219	ENSG00000143105	
3745	KCNB1	20	20q13.13	protein-coding	Kv2.1	HGNC:6231	ENSG00000158445	
3742	KCNA6	12	12p13.32	protein-coding	Kv1.6|HBK2|PPP1R96	HGNC:6225	ENSG00000151079	
3743	KCNA7	19	19q13.33	protein-coding	Kv1.7|HAK6	HGNC:6226	ENSG00000104848	
3741	KCNA5	12	12p13.32	protein-coding	Kv1.5|HPCN1	HGNC:6224	ENSG00000130037	
100286979	ANAPC1P1	2	2p11.2	pseudogene		HGNC:44150	ENSG00000233673	
100286971	UBDP1	6	6p22.1	pseudogene	dJ994E9.3	HGNC:18796	ENSG00000225797	
105377860	LINC02540	6	6q14.1	ncRNA		HGNC:53573	ENSG00000236635	
222553	SLC35F1	6	6q22.2-q22.31	protein-coding	C6orf169|dJ230I3.1	HGNC:21483	ENSG00000196376	
57661	PHRF1	11	11p15.5	protein-coding	RNF221|KIAA1542|PPP1R125	HGNC:24351	ENSG00000070047	
572558	PGM5-AS1	9	9q21.11	ncRNA	FAM233A|LOC572558	HGNC:44181	ENSG00000224958	
57662	CAMSAP3	19	19p13.2	protein-coding	KIAA1543|Nezha|PPP1R80	HGNC:29307	ENSG00000076826	
57665	RDH14	2	2p24.2	protein-coding	PAN2|SDR7C4	HGNC:19979	ENSG00000240857	
57664	PLEKHA4	19	19q13.33	protein-coding	PEPP1	HGNC:14339	ENSG00000105559	
105375037	ETV7-AS1	6	6p21.31	ncRNA		HGNC:40833	ENSG00000224666	
57666	FBRSL1	12	12q24.33	protein-coding	KIAA1545	HGNC:29308	ENSG00000112787	
57669	EPB41L5	2	2q14.2	protein-coding	KIAA1548|FLJ12957|BE37|YMO1|YRT|LULU|LULU1	HGNC:19819	ENSG00000115109	
107403163	MTCO2P26	11	11p12	pseudogene		HGNC:52155		
107403169	MTCO2P14	1	1p13.3	pseudogene		HGNC:52030		
107403168	MTCO2P13	17	17p11.2	pseudogene		HGNC:52029		
474148	TTTY3B	Y	Yq11.23	ncRNA	LNCRNA00122	HGNC:31888	ENSG00000280961	
474149	TTTY4B	Y	Yq11.23	ncRNA	LINC00124	HGNC:31891	ENSG00000235412	
643180	CCT6P3	7	7q11.21	pseudogene		HGNC:35137	ENSG00000234585	
25980	AAR2	20	20q11.23	protein-coding	C20orf4|bA234K24.2	HGNC:15886	ENSG00000131043	
106480770	RNA5SP498	X	Xp22.33	pseudogene	RN5S498	HGNC:43398	ENSG00000223274	
106480771	RNA5SP520	Y	Yq11.221	pseudogene	RN5S520	HGNC:43420	ENSG00000252315	
106480772	RNA5SP523	Y	Yq11.222	pseudogene	RN5S523	HGNC:43423	ENSG00000252667	
106480773	TBC1D3P7	17	17q21.2	pseudogene		HGNC:43569	ENSG00000233014	
106480774	PRSS3P4	9	9p13.3	pseudogene		HGNC:43789	ENSG00000204982	
106480775	PTGES3P4	10	10q24.32	pseudogene		HGNC:43825	ENSG00000236937	
106480776	SLC25A18P1	10	10q26.11	pseudogene		HGNC:43857	ENSG00000234309	
106480777	CIAO2AP1	3	3p24.1	pseudogene	FAM96AP1	HGNC:43861	ENSG00000234048	
106480778	ARL5AP3	1	1p31.3	pseudogene		HGNC:43935	ENSG00000228431	
106480779	WBP1LP4	5	5q35.3	pseudogene		HGNC:43951	ENSG00000251035	
101929006	LINC03003	6	6p22.1	ncRNA		HGNC:56126	ENSG00000290496	
101929002	LINC02287	14	14q32.12	ncRNA		HGNC:53204	ENSG00000258499	
113146	AHNAK2	14	14q32.33	protein-coding	C14orf78	HGNC:20125	ENSG00000185567	
146310	RNF151	16	16p13.3	protein-coding		HGNC:23235	ENSG00000179580	
101929008	GTF2IP13	7	7p12.3	pseudogene		HGNC:51725	ENSG00000272556	
348120	LINC01193	15	15q11.2	ncRNA	CT60|LOC348120	HGNC:28003	ENSG00000258710	
729956	SHISA7	19	19q13.42	protein-coding		HGNC:35409	ENSG00000187902	
100689229	H3P12	3	3q13.13	pseudogene	H3F3AP3|p18	HGNC:42873	ENSG00000230618	
390760	LOC390760	17	17p13.1	protein-coding				
121441	NEDD1	12	12q23.1	protein-coding	GCP-WD|TUBGCP7	HGNC:7723	ENSG00000139350	
57085	AGTRAP	1	1p36.22	protein-coding	ATRAP	HGNC:13539	ENSG00000177674	
57084	SLC17A6	11	11p14.3	protein-coding	DNPI|VGLUT2	HGNC:16703	ENSG00000091664	
57082	KNL1	15	15q15.1	protein-coding	MCPH4|CASC5|D40|AF15Q14|CT29|KIAA1570|hKNL-1|hSpc105|PPP1R55|Spc7	HGNC:24054	ENSG00000137812	
57089	ENTPD7	10	10q24.2	protein-coding	LALP1|FLJ30978	HGNC:19745	ENSG00000198018	
57088	PLSCR4	3	3q24	protein-coding		HGNC:16497	ENSG00000114698	
286234	SPATA31E1	9	9q22.1	protein-coding	C9orf79|FAM75E1|FLJ35866	HGNC:26672	ENSG00000177992	
731223	LINC01220	14	14q24.3	ncRNA		HGNC:49664	ENSG00000259687	
731220	RFX8	2	2q11.2	protein-coding	FLJ42986	HGNC:37253	ENSG00000196460	
6818	SULT1A3	16	16p11.2	protein-coding	STM|TL-PST	HGNC:11455	ENSG00000261052	
6811	STX5	11	11q12.3	protein-coding	STX5A|SED5	HGNC:11440	ENSG00000162236	
6810	STX4	16	16p11.2	protein-coding	STX4A|p35-2	HGNC:11439	ENSG00000103496	
6813	STXBP2	19	19p13.2	protein-coding	UNC18B|Hunc18b|Unc18-2|MUNC18-2	HGNC:11445	ENSG00000076944	
6812	STXBP1	9	9q34.11	protein-coding	hUNC18|MUNC18-1|UNC18|rbSec1|nSec1	HGNC:11444	ENSG00000136854	
6815	STYX	14	14q22.1	protein-coding		HGNC:11447	ENSG00000198252	
6814	STXBP3	1	1p13.3	protein-coding	UNC-18C	HGNC:11446	ENSG00000116266	
9757	KMT2B	19	19q13.12	protein-coding	KIAA0304|MLL2|TRX2|HRX2|WBP7|MLL1B|MLL4|CXXC10	HGNC:15840	ENSG00000272333	
9755	TBKBP1	17	17q21.32	protein-coding	ProSAPiP2|KIAA0775	HGNC:30140	ENSG00000198933	
9754	STARD8	X	Xq13.1	protein-coding	KIAA0189|ARHGAP38	HGNC:19161	ENSG00000130052	
9753	ZSCAN12	6	6p22.1	protein-coding	ZNF305|ZNF96|KIAA0426|ZNF29K1|ZFP96|dJ29K1.2	HGNC:13172	ENSG00000158691	
9752	PCDHA9	5	5q31.3	other	KIAA0345|PCDH-ALPHA9	HGNC:8675	ENSG00000204961	
